<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.15	02:18:00	1.11867	1.11872	1.11861	1.11861	24	0	2
2025.05.15	02:19:00	1.11862	1.11862	1.11856	1.11857	9	0	2
2025.05.15	02:20:00	1.11857	1.11865	1.11857	1.11862	24	0	2
2025.05.15	02:21:00	1.11858	1.11858	1.11849	1.11854	15	0	2
2025.05.15	02:22:00	1.11853	1.11865	1.11851	1.11864	18	0	2
2025.05.15	02:23:00	1.11865	1.11865	1.11857	1.11862	24	0	2
2025.05.15	02:24:00	1.11862	1.11866	1.11857	1.11862	17	0	2
2025.05.15	02:25:00	1.11862	1.11864	1.11861	1.11864	10	0	2
2025.05.15	02:26:00	1.11863	1.11866	1.11863	1.11865	13	0	3
2025.05.15	02:27:00	1.11866	1.11866	1.11853	1.11857	13	0	2
2025.05.15	02:28:00	1.11859	1.11866	1.11859	1.11866	6	0	3
2025.05.15	02:29:00	1.11863	1.11868	1.11856	1.11866	23	0	2
2025.05.15	02:30:00	1.11866	1.11868	1.11857	1.11865	15	0	2
2025.05.15	02:31:00	1.11864	1.11871	1.11862	1.11870	19	0	2
2025.05.15	02:32:00	1.11872	1.11878	1.11871	1.11872	10	0	2
2025.05.15	02:33:00	1.11871	1.11879	1.11871	1.11877	13	0	2
2025.05.15	02:34:00	1.11873	1.11873	1.11862	1.11862	10	0	2
2025.05.15	02:35:00	1.11862	1.11869	1.11862	1.11868	18	0	2
2025.05.15	02:36:00	1.11870	1.11873	1.11868	1.11868	7	0	2
2025.05.15	02:37:00	1.11867	1.11872	1.11867	1.11872	4	0	3
2025.05.15	02:38:00	1.11871	1.11872	1.11871	1.11872	2	0	2
2025.05.15	02:39:00	1.11872	1.11873	1.11871	1.11872	5	0	2
2025.05.15	02:40:00	1.11872	1.11872	1.11862	1.11862	20	0	2
2025.05.15	02:41:00	1.11863	1.11872	1.11862	1.11872	13	0	2
2025.05.15	02:42:00	1.11872	1.11874	1.11872	1.11873	9	0	3
2025.05.15	02:43:00	1.11872	1.11872	1.11865	1.11872	18	0	2
2025.05.15	02:44:00	1.11872	1.11874	1.11863	1.11866	10	0	2
2025.05.15	02:45:00	1.11866	1.11866	1.11852	1.11853	20	0	2
2025.05.15	02:46:00	1.11853	1.11853	1.11837	1.11843	24	0	2
2025.05.15	02:47:00	1.11844	1.11849	1.11843	1.11843	12	0	2
2025.05.15	02:48:00	1.11848	1.11853	1.11848	1.11850	19	0	2
2025.05.15	02:49:00	1.11849	1.11857	1.11849	1.11853	14	0	2
2025.05.15	02:50:00	1.11854	1.11872	1.11854	1.11862	24	0	2
2025.05.15	02:51:00	1.11862	1.11864	1.11853	1.11853	15	0	2
2025.05.15	02:52:00	1.11855	1.11856	1.11840	1.11843	22	0	2
2025.05.15	02:53:00	1.11842	1.11847	1.11835	1.11836	9	0	2
2025.05.15	02:54:00	1.11835	1.11838	1.11828	1.11838	31	0	2
2025.05.15	02:55:00	1.11837	1.11840	1.11824	1.11832	34	0	2
2025.05.15	02:56:00	1.11830	1.11842	1.11824	1.11840	46	0	2
2025.05.15	02:57:00	1.11839	1.11839	1.11823	1.11823	19	0	2
2025.05.15	02:58:00	1.11821	1.11822	1.11803	1.11820	35	0	2
2025.05.15	02:59:00	1.11819	1.11823	1.11812	1.11813	40	0	2
2025.05.15	03:00:00	1.11818	1.11822	1.11793	1.11796	33	0	2
2025.05.15	03:01:00	1.11793	1.11793	1.11767	1.11777	61	0	2
2025.05.15	03:02:00	1.11780	1.11793	1.11777	1.11792	57	0	2
2025.05.15	03:03:00	1.11795	1.11795	1.11770	1.11778	50	0	2
2025.05.15	03:04:00	1.11774	1.11775	1.11759	1.11774	58	0	2
2025.05.15	03:05:00	1.11774	1.11786	1.11770	1.11772	50	0	2
2025.05.15	03:06:00	1.11774	1.11799	1.11774	1.11799	42	0	2
2025.05.15	03:07:00	1.11799	1.11800	1.11783	1.11784	22	0	2
2025.05.15	03:08:00	1.11783	1.11794	1.11782	1.11793	31	0	2
2025.05.15	03:09:00	1.11795	1.11797	1.11785	1.11793	27	0	2
2025.05.15	03:10:00	1.11793	1.11812	1.11793	1.11809	29	0	2
2025.05.15	03:11:00	1.11810	1.11822	1.11796	1.11802	23	0	2
2025.05.15	03:12:00	1.11803	1.11803	1.11791	1.11792	37	0	2
2025.05.15	03:13:00	1.11792	1.11797	1.11791	1.11796	44	0	2
2025.05.15	03:14:00	1.11797	1.11802	1.11786	1.11793	44	0	2
2025.05.15	03:15:00	1.11794	1.11795	1.11778	1.11787	42	0	2
2025.05.15	03:16:00	1.11791	1.11813	1.11789	1.11807	49	0	2
2025.05.15	03:17:00	1.11808	1.11819	1.11807	1.11819	18	0	3
2025.05.15	03:18:00	1.11820	1.11820	1.11811	1.11818	28	0	2
2025.05.15	03:19:00	1.11818	1.11845	1.11818	1.11844	44	0	2
2025.05.15	03:20:00	1.11844	1.11846	1.11836	1.11837	48	0	2
2025.05.15	03:21:00	1.11835	1.11844	1.11830	1.11839	39	0	3
2025.05.15	03:22:00	1.11840	1.11847	1.11833	1.11844	40	0	2
2025.05.15	03:23:00	1.11843	1.11854	1.11842	1.11847	27	0	2
2025.05.15	03:24:00	1.11847	1.11855	1.11845	1.11850	34	0	2
2025.05.15	03:25:00	1.11851	1.11871	1.11846	1.11866	37	0	2
2025.05.15	03:26:00	1.11865	1.11873	1.11863	1.11873	32	0	2
2025.05.15	03:27:00	1.11873	1.11894	1.11872	1.11892	27	0	3
2025.05.15	03:28:00	1.11894	1.11897	1.11886	1.11887	24	0	2
