<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.15	23:26:00	0.89438	0.89440	0.89435	0.89440	32	0	5
2025.05.15	23:28:00	0.89442	0.89444	0.89437	0.89439	44	0	7
2025.05.15	23:30:00	0.89440	0.89452	0.89438	0.89443	46	0	7
2025.05.15	23:32:00	0.89443	0.89443	0.89426	0.89426	24	0	7
2025.05.15	23:34:00	0.89427	0.89435	0.89426	0.89433	25	0	7
2025.05.15	23:36:00	0.89432	0.89432	0.89411	0.89412	42	0	5
2025.05.15	23:38:00	0.89412	0.89417	0.89411	0.89415	25	0	8
2025.05.15	23:40:00	0.89415	0.89416	0.89411	0.89415	26	0	6
2025.05.15	23:42:00	0.89415	0.89426	0.89413	0.89426	24	0	5
2025.05.15	23:44:00	0.89426	0.89428	0.89415	0.89416	24	0	8
2025.05.15	23:46:00	0.89421	0.89434	0.89414	0.89420	46	0	9
2025.05.15	23:48:00	0.89420	0.89430	0.89417	0.89425	33	0	9
2025.05.15	23:50:00	0.89426	0.89429	0.89419	0.89427	57	0	5
2025.05.15	23:52:00	0.89427	0.89430	0.89413	0.89416	45	0	8
2025.05.15	23:54:00	0.89417	0.89422	0.89412	0.89421	64	0	11
2025.05.15	23:56:00	0.89421	0.89426	0.89411	0.89413	57	0	12
2025.05.15	23:58:00	0.89413	0.89417	0.89394	0.89397	139	0	9
2025.05.16	00:00:00	0.89280	0.89280	0.89270	0.89280	3	0	300
2025.05.16	00:02:00	0.89270	0.89337	0.89270	0.89325	17	0	215
2025.05.16	00:04:00	0.89326	0.89382	0.89315	0.89378	17	0	192
2025.05.16	00:06:00	0.89376	0.89377	0.89322	0.89332	28	0	123
2025.05.16	00:08:00	0.89333	0.89333	0.89310	0.89324	20	0	121
2025.05.16	00:10:00	0.89320	0.89340	0.89292	0.89340	35	0	92
2025.05.16	00:12:00	0.89339	0.89353	0.89338	0.89350	22	0	85
2025.05.16	00:14:00	0.89349	0.89357	0.89338	0.89353	34	0	83
2025.05.16	00:16:00	0.89339	0.89383	0.89332	0.89357	66	0	79
2025.05.16	00:18:00	0.89349	0.89359	0.89339	0.89354	33	0	85
2025.05.16	00:20:00	0.89345	0.89367	0.89338	0.89360	50	0	60
2025.05.16	00:22:00	0.89362	0.89377	0.89358	0.89372	32	0	52
2025.05.16	00:24:00	0.89371	0.89382	0.89370	0.89375	20	0	68
2025.05.16	00:26:00	0.89375	0.89382	0.89374	0.89379	19	0	51
2025.05.16	00:28:00	0.89380	0.89383	0.89380	0.89381	12	0	51
2025.05.16	00:30:00	0.89382	0.89385	0.89373	0.89380	47	0	40
2025.05.16	00:32:00	0.89381	0.89396	0.89381	0.89396	31	0	36
2025.05.16	00:34:00	0.89397	0.89429	0.89395	0.89429	61	0	26
2025.05.16	00:36:00	0.89428	0.89428	0.89407	0.89413	36	0	27
2025.05.16	00:38:00	0.89414	0.89426	0.89414	0.89423	36	0	29
2025.05.16	00:40:00	0.89423	0.89431	0.89421	0.89425	24	0	25
2025.05.16	00:42:00	0.89426	0.89429	0.89410	0.89422	34	0	21
2025.05.16	00:44:00	0.89421	0.89423	0.89402	0.89405	18	0	21
2025.05.16	00:46:00	0.89408	0.89412	0.89403	0.89403	22	0	26
2025.05.16	00:48:00	0.89404	0.89406	0.89401	0.89405	15	0	26
2025.05.16	00:50:00	0.89404	0.89406	0.89404	0.89405	8	0	27
2025.05.16	00:52:00	0.89407	0.89407	0.89376	0.89382	17	0	28
2025.05.16	00:54:00	0.89381	0.89382	0.89375	0.89375	7	0	49
2025.05.16	00:56:00	0.89379	0.89389	0.89377	0.89389	21	0	48
2025.05.16	00:58:00	0.89389	0.89391	0.89386	0.89390	15	0	47
2025.05.16	01:00:00	0.89386	0.89406	0.89382	0.89392	45	0	17
2025.05.16	01:02:00	0.89392	0.89411	0.89387	0.89411	19	0	15
2025.05.16	01:04:00	0.89411	0.89434	0.89409	0.89434	16	0	8
2025.05.16	01:06:00	0.89434	0.89438	0.89427	0.89432	14	0	7
2025.05.16	01:08:00	0.89432	0.89443	0.89432	0.89437	11	0	8
2025.05.16	01:10:00	0.89437	0.89439	0.89428	0.89429	11	0	10
2025.05.16	01:12:00	0.89431	0.89440	0.89429	0.89431	15	0	11
2025.05.16	01:14:00	0.89434	0.89434	0.89422	0.89431	29	0	8
2025.05.16	01:16:00	0.89431	0.89435	0.89425	0.89429	48	0	7
2025.05.16	01:18:00	0.89428	0.89428	0.89423	0.89426	32	0	10
2025.05.16	01:20:00	0.89426	0.89428	0.89417	0.89422	34	0	8
